feature,gain
TransactionAmt,24631
ProductCD,1542
card1,27921
card2,22447
card3,2876
card4,3259
card5,8662
card6,2441
addr1,20492
addr2,712
dist1,13414
P_emaildomain,7920
R_emaildomain,4816
C1,9484
C2,7808
C4,1346
C5,3005
C6,6286
C7,951
C8,2588
C9,4809
C10,2509
C11,6616
C12,2426
C13,12606
C14,7041
D1,11959
D2,13154
D3,6448
D4,14686
D5,6159
D6,3612
D8,9223
D9,3797
D10,13599
D11,8854
D12,3033
D13,2458
D14,3681
D15,16899
M2,1336
M3,1979
M4,3941
M5,3699
M6,3740
M7,1423
M8,1785
M9,1843
V3,769
V4,1204
V5,1695
V6,725
V7,737
V8,459
V9,365
V10,935
V11,864
V12,1927
V13,2085
V17,224
V19,1588
V20,2046
V29,1142
V30,1082
V33,489
V34,591
V35,2242
V36,2125
V37,1551
V38,2304
V40,977
V44,1983
V45,2523
V46,405
V47,905
V48,1283
V49,1334
V51,716
V52,891
V53,2364
V54,2093
V56,1936
V58,486
V59,400
V60,447
V61,2052
V62,2559
V63,342
V64,600
V69,1246
V70,1103
V71,233
V72,363
V73,578
V74,995
V75,2517
V76,2531
V78,2201
V80,441
V81,753
V82,2330
V83,2732
V84,289
V85,624
V87,2934
V90,1292
V91,1215
V92,233
V93,414
V94,607
V95,329
V96,1150
V97,402
V99,1199
V100,276
V126,1814
V127,2992
V128,1979
V130,3687
V131,2066
V138,20
V139,964
V140,566
V143,569
V145,447
V146,218
V147,282
V149,709
V150,621
V151,330
V152,570
V154,320
V156,595
V158,321
V159,517
V160,929
V161,220
V162,257
V163,198
V164,651
V165,1220
V166,596
V167,166
V169,484
V170,583
V171,515
V172,119
V173,61
V175,152
V176,256
V177,164
V178,319
V180,232
V182,211
V184,270
V187,1013
V188,370
V189,425
V195,117
V197,261
V200,418
V201,462
V202,621
V203,1204
V204,783
V205,496
V206,631
V207,797
V208,931
V209,917
V210,915
V212,754
V213,507
V214,587
V215,763
V216,655
V217,295
V219,432
V220,580
V221,1100
V222,901
V223,225
V224,487
V225,259
V226,289
V227,186
V228,344
V229,634
V231,238
V233,331
V234,580
V238,223
V239,282
V242,211
V243,483
V244,242
V245,631
V246,249
V247,136
V249,262
V251,634
V253,303
V256,585
V257,491
V258,732
V259,882
V261,1096
V262,697
V263,851
V264,1572
V265,1088
V266,897
V267,1323
V268,923
V270,845
V271,978
V272,739
V273,577
V274,1050
V275,670
V276,742
V277,1306
V278,1073
V279,820
V280,964
V282,2161
V283,2237
V285,1976
V287,396
V288,576
V289,761
V291,1501
V292,673
V294,1534
V303,194
V304,116
V306,2001
V307,5311
V308,2782
V310,5463
V312,2904
V313,6086
V314,4359
V315,4777
V317,2850
V322,106
V323,414
V324,185
V326,257
V329,242
V331,263
V332,527
V333,360
V335,388
V336,273
V338,520
id_01,3317
id_02,8452
id_03,1269
id_05,4715
id_06,5332
id_09,1191
id_11,616
id_12,83
id_13,4694
id_14,2335
id_15,557
id_17,1244
id_19,8785
id_20,9918
id_30,3304
id_31,5572
id_32,587
id_33,2807
id_36,237
id_37,542
id_38,1180
DeviceType,1074
DeviceInfo,4952
f103__TransactionAmt_decimal,11075
f103__card1_count_full,26845
f103__Transaction_day_of_week,8674
f103__Transaction_hour,12656
f103__id_02__id_20,4652
f103__id_02__D8,3457
f103__D11__DeviceInfo,6577
f103__DeviceInfo__P_emaildomain,11511
f103__P_emaildomain__C2,15553
f103__card2__dist1,19219
f103__card1__card5,26206
f103__card2__id_20,15866
f103__card5__P_emaildomain,17566
f103__addr1__card1,30050
id_34_count_full,357
id_36_count_full,229
id_01_count_dist,2610
id_31_count_dist,7836
id_33_count_dist,4238
id_35_count_dist,41
id_36_count_dist,135
f203__date_block_num,3049
f203__TransactionAmt_min__lag1,4435
f203__TransactionAmt_mean__lag1,5145
f203__TransactionAmt_max__lag1,3963
f203__TransactionAmt_std__lag1,2600
f203__dist1_min__lag1,117
f203__dist1_mean__lag1,4290
f203__dist1_max__lag1,3390
f203__dist1_std__lag1,2343
f203__dist2_min__lag1,46
f203__dist2_mean__lag1,3635
f203__dist2_max__lag1,3045
f203__dist2_std__lag1,3365
f203__TransactionAmt_min__lag2,1916
f203__TransactionAmt_mean__lag2,2017
f203__TransactionAmt_max__lag2,1309
f203__TransactionAmt_std__lag2,993
f203__dist1_min__lag2,66
f203__dist1_mean__lag2,1665
f203__dist1_max__lag2,1470
f203__dist1_std__lag2,1055
f203__dist2_min__lag2,26
f203__dist2_mean__lag2,1102
f203__dist2_max__lag2,1421
f203__dist2_std__lag2,1269
f203__TransactionAmt_min__lag3,454
f203__TransactionAmt_mean__lag3,500
f203__TransactionAmt_max__lag3,367
f203__TransactionAmt_std__lag3,215
f203__dist1_min__lag3,55
f203__dist1_mean__lag3,141
f203__dist1_max__lag3,308
f203__dist1_std__lag3,86
f203__dist2_min__lag3,31
f203__dist2_mean__lag3,285
f203__dist2_max__lag3,236
f203__dist2_std__lag3,234
f203__TransactionAmt_min__lag6,0
f203__TransactionAmt_mean__lag6,0
f203__TransactionAmt_max__lag6,0
f203__TransactionAmt_std__lag6,0
f203__dist1_min__lag6,0
f203__dist1_mean__lag6,0
f203__dist1_max__lag6,0
f203__dist1_std__lag6,0
f203__dist2_min__lag6,0
f203__dist2_mean__lag6,0
f203__dist2_max__lag6,0
f203__dist2_std__lag6,0
f204__date_block_num,14
f204__card1_counts__lag1,26873
f204__card1_counts__lag2,21915
f204__card1_counts__lag3,16686
f204__card1_counts__lag6,0
